,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
25,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2010,2010,%,3.1,,,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
26,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2011,2011,%,2.9,,,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
27,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2012,2012,%,2.8,,,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
28,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2013,2013,%,2.6,,,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
29,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2014,2014,%,<2.5,,,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
30,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2015,2015,%,<2.5,,,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
31,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2016,2016,%,2.6,,,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
32,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2017,2017,%,3.1,,,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
33,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2018,2018,%,3.4,,,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
34,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2019,2019,%,3.5,,,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
35,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2020,2020,%,3.7,,,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
36,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2015,2015,1000 persons,2477.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
37,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2016,2016,1000 persons,3759.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
38,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2017,2017,1000 persons,4926.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
39,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2018,2018,1000 persons,5715.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
40,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2019,2019,1000 persons,5659.1,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
41,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN,2.1.2 Population in severe food insecurity (thousands of people),2020,2020,1000 persons,5869.2,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
42,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2015,2015,1000 persons,959.1,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
43,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2016,2016,1000 persons,1414.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
44,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2017,2017,1000 persons,1946.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
45,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2018,2018,1000 persons,2329,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
46,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2019,2019,1000 persons,2479.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
47,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_F,2.1.2 Population in severe food insecurity (thousands of people) (female),2020,2020,1000 persons,2592.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
48,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2015,2015,1000 persons,663,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
49,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2016,2016,1000 persons,1064.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
50,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2017,2017,1000 persons,1314.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
51,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2018,2018,1000 persons,1429.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
52,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2019,2019,1000 persons,1406.1,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
53,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESSN_M,2.1.2 Population in severe food insecurity (thousands of people) (male),2020,2020,1000 persons,1542,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
54,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2015,2015,%,5.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
55,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2016,2016,%,8.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
56,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2017,2017,%,11.2,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
57,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2018,2018,%,12.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
58,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2019,2019,%,12.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
59,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS,2.1.2 Prevalence of severe food insecurity (%),2020,2020,%,13,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
60,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2015,2015,%,5.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
61,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2016,2016,%,8.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
62,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2017,2017,%,11.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
63,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2018,2018,%,13.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
64,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2019,2019,%,14.1,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
65,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_F,2.1.2 Prevalence of severe food insecurity (%) (female),2020,2020,%,14.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
66,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2015,2015,%,4.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
67,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2016,2016,%,6.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
68,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2017,2017,%,8.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
69,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2018,2018,%,8.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
70,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2019,2019,%,8.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
71,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESS_M,2.1.2 Prevalence of severe food insecurity (%) (male),2020,2020,%,9.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
72,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2015,2015,1000 persons,8261.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
73,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2016,2016,1000 persons,11280.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
74,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2017,2017,1000 persons,14186.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
75,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2018,2018,1000 persons,15879.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
76,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2019,2019,1000 persons,16042.5,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
77,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN,2.1.2 Population in moderate or severe food insecurity (thousands of people),2020,2020,1000 persons,16701.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
78,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2015,2015,1000 persons,3316.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
79,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2016,2016,1000 persons,4522.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
80,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2017,2017,1000 persons,5668.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
81,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2018,2018,1000 persons,6317,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
82,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2019,2019,1000 persons,6647,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
83,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2020,2020,1000 persons,7111.4,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
84,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2015,2015,1000 persons,2140.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
85,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2016,2016,1000 persons,3090,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
86,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2017,2017,1000 persons,3977,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
87,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2018,2018,1000 persons,4526.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
88,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2019,2019,1000 persons,4806.6,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
89,SDGB,SDG Indicators,32,Argentina,6199,Value,AG_PRD_FIESMSN_,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2020,2020,1000 persons,4934.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
90,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2015,2015,%,19.2,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
91,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2016,2016,%,25.9,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
92,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2017,2017,%,32.3,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
93,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2018,2018,%,35.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
94,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2019,2019,%,35.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
95,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS,2.1.2 Prevalence of moderate or severe food insecurity (%),2020,2020,%,37,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
96,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS_F,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2015,2015,%,19.8,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
97,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS_F,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2016,2016,%,26.7,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
98,SDGB,SDG Indicators,32,Argentina,6121,Value,AG_PRD_FIESMS_F,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2017,2017,%,33.1,A,Official figure,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
