,Ámbito,Código área (ISO3),Área,Elemento,Producto,Año,Unidad,Valor,Nota
33,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2016,1000 personas,1414.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
34,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2017,1000 personas,1946.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
35,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2018,1000 personas,2329,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
36,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2019,1000 personas,2479.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
37,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2020,1000 personas,2592.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
38,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2015,1000 personas,663,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
39,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2016,1000 personas,1064.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
40,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2017,1000 personas,1314.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
41,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2018,1000 personas,1429.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
42,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2019,1000 personas,1406.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
43,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (male),2020,1000 personas,1542,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
44,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2015,%,5.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
45,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2016,%,8.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
46,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2017,%,11.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
47,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2018,%,12.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
48,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2019,%,12.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
49,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%),2020,%,13,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
50,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2015,%,5.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
51,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2016,%,8.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
52,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2017,%,11.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
53,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2018,%,13.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
54,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2019,%,14.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
55,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (female),2020,%,14.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
56,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2015,%,4.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
57,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2016,%,6.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
58,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2017,%,8.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
59,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2018,%,8.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
60,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2019,%,8.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
61,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of severe food insecurity (%) (male),2020,%,9.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
62,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2015,1000 personas,8261.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
63,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2016,1000 personas,11280.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
64,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2017,1000 personas,14186.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
65,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2018,1000 personas,15879.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
66,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2019,1000 personas,16042.5,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
67,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people),2020,1000 personas,16701.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
68,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2015,1000 personas,3316.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
69,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2016,1000 personas,4522.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
70,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2017,1000 personas,5668.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
71,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2018,1000 personas,6317,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
72,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2019,1000 personas,6647,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
73,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2020,1000 personas,7111.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
74,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2015,1000 personas,2140.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
75,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2016,1000 personas,3090,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
76,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2017,1000 personas,3977,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
77,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2018,1000 personas,4526.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
78,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2019,1000 personas,4806.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
79,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2020,1000 personas,4934.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
80,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2015,%,19.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
81,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2016,%,25.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
82,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2017,%,32.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
83,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2018,%,35.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
84,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2019,%,35.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
85,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%),2020,%,37,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
86,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2015,%,19.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
87,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2016,%,26.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
88,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2017,%,33.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
89,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2018,%,36.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
90,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2019,%,37.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
91,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2020,%,40.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
92,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2015,%,13.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
93,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2016,%,19.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
94,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2017,%,25.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
95,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2018,%,28.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
96,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2019,%,29.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
97,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2020,%,30,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
98,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2008,"dólares PPA, 2011",,Global
99,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2009,"dólares PPA, 2011",,Global
100,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2011,"dólares PPA, 2011",,Global
101,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2012,"dólares PPA, 2011",,Global
102,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2013,"dólares PPA, 2011",,Global
103,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2014,"dólares PPA, 2011",,Global
104,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2015,"dólares PPA, 2011",,Global
105,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2016,"dólares PPA, 2011",,Global
106,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2008,"dólares PPA, 2011",,Global
107,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2009,"dólares PPA, 2011",,Global
108,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2011,"dólares PPA, 2011",,Global
109,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2012,"dólares PPA, 2011",,Global
110,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2013,"dólares PPA, 2011",,Global
111,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2014,"dólares PPA, 2011",,Global
112,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2015,"dólares PPA, 2011",,Global
113,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2016,"dólares PPA, 2011",,Global
114,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2008,"dólares PPA, 2011",,Global
115,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2009,"dólares PPA, 2011",,Global
116,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2011,"dólares PPA, 2011",,Global
117,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2012,"dólares PPA, 2011",,Global
118,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2013,"dólares PPA, 2011",,Global
119,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2014,"dólares PPA, 2011",,Global
120,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2015,"dólares PPA, 2011",,Global
121,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2016,"dólares PPA, 2011",,Global
122,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2008,"dólares PPA, 2011",,Global | NaN = A figure was not provided
123,Indicadores ODS,ARG,Argentina,Valor,"2.3.1 Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2009,"dólares PPA, 2011",,Global | NaN = A figure was not provided
