,Domain,Area,Element Code,Item,Year,Unit,Value,Note
17,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2020,millions,1.7,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
18,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2003,%,4.5,"Global | FAO, Statistics Division | Estimated data | 2002-2004"
19,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2004,%,4,"Global | FAO, Statistics Division | Estimated data | 2003-2005"
20,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2005,%,3.7,"Global | FAO, Statistics Division | Estimated data | 2004-2006"
21,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2006,%,3.4,"Global | FAO, Statistics Division | Estimated data | 2005-2007"
22,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2007,%,3.3,"Global | FAO, Statistics Division | Estimated data | 2006-2008"
23,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2008,%,3.3,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
24,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2009,%,3.2,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
25,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2010,%,3.1,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
26,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2011,%,2.9,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
27,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2012,%,2.8,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
28,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2013,%,2.6,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
29,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2014,%,<2.5,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
30,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2015,%,<2.5,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
31,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2016,%,2.6,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
32,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2017,%,3.1,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
33,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2018,%,3.4,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
34,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2019,%,3.5,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
35,SDG Indicators,Argentina,6121,2.1.1 Prevalence of undernourishment (%),2020,%,3.7,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
36,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2015,1000 persons,2477.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
37,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2016,1000 persons,3759.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
38,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2017,1000 persons,4926.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
39,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2018,1000 persons,5715.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
40,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2019,1000 persons,5659.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
41,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people),2020,1000 persons,5869.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
42,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2015,1000 persons,959.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
43,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2016,1000 persons,1414.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
44,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2017,1000 persons,1946.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
45,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2018,1000 persons,2329,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
46,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2019,1000 persons,2479.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
47,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (female),2020,1000 persons,2592.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
48,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2015,1000 persons,663,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
49,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2016,1000 persons,1064.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
50,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2017,1000 persons,1314.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
51,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2018,1000 persons,1429.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
52,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2019,1000 persons,1406.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
53,SDG Indicators,Argentina,6199,2.1.2 Population in severe food insecurity (thousands of people) (male),2020,1000 persons,1542,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
54,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2015,%,5.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
55,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2016,%,8.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
56,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2017,%,11.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
57,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2018,%,12.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
58,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2019,%,12.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
59,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%),2020,%,13,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
60,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2015,%,5.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
61,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2016,%,8.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
62,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2017,%,11.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
63,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2018,%,13.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
64,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2019,%,14.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
65,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (female),2020,%,14.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
66,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2015,%,4.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
67,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2016,%,6.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
68,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2017,%,8.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
69,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2018,%,8.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
70,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2019,%,8.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
71,SDG Indicators,Argentina,6121,2.1.2 Prevalence of severe food insecurity (%) (male),2020,%,9.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
72,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2015,1000 persons,8261.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
73,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2016,1000 persons,11280.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
74,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2017,1000 persons,14186.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
75,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2018,1000 persons,15879.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
76,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2019,1000 persons,16042.5,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
77,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people),2020,1000 persons,16701.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
78,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2015,1000 persons,3316.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
79,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2016,1000 persons,4522.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
80,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2017,1000 persons,5668.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
81,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2018,1000 persons,6317,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
82,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2019,1000 persons,6647,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
83,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (female),2020,1000 persons,7111.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
84,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2015,1000 persons,2140.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
85,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2016,1000 persons,3090,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
86,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2017,1000 persons,3977,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
87,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2018,1000 persons,4526.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
88,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2019,1000 persons,4806.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
89,SDG Indicators,Argentina,6199,2.1.2 Population in moderate or severe food insecurity (thousands of people) (male),2020,1000 persons,4934.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
90,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2015,%,19.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
91,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2016,%,25.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
92,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2017,%,32.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
93,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2018,%,35.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
94,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2019,%,35.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
95,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%),2020,%,37,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
96,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2015,%,19.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
97,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2016,%,26.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
98,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2017,%,33.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
99,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2018,%,36.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
100,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2019,%,37.9,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
101,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (female),2020,%,40.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
102,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2015,%,13.8,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
103,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2016,%,19.7,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | 15+
104,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2017,%,25.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | 15+
105,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2018,%,28.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | 15+
106,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2019,%,29.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | 15+
107,SDG Indicators,Argentina,6121,2.1.2 Prevalence of moderate or severe food insecurity (%) (male),2020,%,30,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | 15+
108,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2005,PPP (constant 2011 prices),,Global
109,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2008,PPP (constant 2011 prices),,Global
110,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2009,PPP (constant 2011 prices),,Global
111,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2011,PPP (constant 2011 prices),,Global
112,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2012,PPP (constant 2011 prices),,Global
113,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2013,PPP (constant 2011 prices),,Global
114,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2014,PPP (constant 2011 prices),,Global
115,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2015,PPP (constant 2011 prices),,Global
116,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",2016,PPP (constant 2011 prices),,Global
117,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2005,PPP (constant 2011 prices),,Global
118,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2008,PPP (constant 2011 prices),,Global
119,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2009,PPP (constant 2011 prices),,Global
120,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2011,PPP (constant 2011 prices),,Global
121,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2012,PPP (constant 2011 prices),,Global
122,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2013,PPP (constant 2011 prices),,Global
123,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2014,PPP (constant 2011 prices),,Global
124,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2015,PPP (constant 2011 prices),,Global
125,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (female)",2016,PPP (constant 2011 prices),,Global
126,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2005,PPP (constant 2011 prices),,Global
127,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2008,PPP (constant 2011 prices),,Global
128,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2009,PPP (constant 2011 prices),,Global
129,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2011,PPP (constant 2011 prices),,Global
130,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2012,PPP (constant 2011 prices),,Global
131,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2013,PPP (constant 2011 prices),,Global
132,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2014,PPP (constant 2011 prices),,Global
133,SDG Indicators,Argentina,6174,"2.3.1 Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $) (male)",2015,PPP (constant 2011 prices),,Global
